Date,Close,High,Low,Open,Volume,daily_return,log_return,MA7,MA21,MA50,MA200,EMA12,EMA26,volatility_21d,price_range
2019-01-01,140.8194122314453,141.3975067138672,132.6507110595703,133.41815185546875,2258709868,,,,,,,140.8194122314453,140.8194122314453,,0.06211356456964173
2019-01-02,155.0476837158203,156.92913818359375,140.6509552001953,141.51951599121094,3328240369,10.103913415708599,0.09625440130240162,,,,,143.0083770751953,141.87335826732496,,0.1049882371234514
2019-01-03,149.135009765625,155.86305236816406,147.1983642578125,155.196044921875,2676164880,-3.8134551955206097,-0.03888070499602084,,,,,143.95093595064603,142.41125837831015,,0.05809962478943517
2019-01-04,154.58193969726562,156.8789825439453,147.9071044921875,148.9128875732422,3126192535,3.6523482582666578,0.03587230828845264,,,,,145.5864749885875,143.3127903278624,,0.05803962655228937
2019-01-05,155.6385955810547,160.82489013671875,154.33741760253906,154.33741760253906,3338211928,0.6835571386013317,0.006812314789194003,,,,,147.1329550797363,144.22581293920996,,0.04168292903157874
2019-01-06,157.74620056152344,159.37144470214844,152.08592224121094,155.80422973632812,3231294371,1.3541660232799568,0.013450791376217247,,,,,148.76576207693432,145.22732313345543,,0.04618508994196684
2019-01-07,151.69921875,158.45042419433594,151.15072631835938,157.8094940185547,2712108388,-3.8333613044233217,-0.03908767956864358,152.0954371861049,,,,149.2170631035598,145.70672280875502,,0.04811954824900219
2019-01-08,150.35963439941406,153.6257781982422,148.66954040527344,151.96754455566406,2459808140,-0.8830529000901199,-0.008869749182799697,153.4583260672433,,,,149.392843302922,146.0513829265816,,0.032962555494136424
2019-01-09,150.80311584472656,153.62225341796875,150.2883758544922,150.5546875,2369241197,0.2949471426183736,0.0029451302693207656,152.85195922851562,,,,149.60980830935347,146.4033631427405,,0.022107484615299777
2019-01-10,128.62518310546875,152.1482696533203,126.52937316894531,150.843505859375,3397734456,-14.706548080938308,-0.15907249974701015,149.92198399135046,,,,146.38140443183275,145.08646091775742,,0.1991748106074087
2019-01-11,127.54832458496094,130.1659393310547,125.24494171142578,127.81396484375,2667585234,-0.8372065986680277,-0.008407308571134387,146.06003897530692,,,,143.48400753231402,143.78733970792064,,0.03858143676635275
2019-01-12,125.9665298461914,128.66612243652344,125.4467544555664,127.52808380126953,2212109224,-1.2401532861499032,-0.012479073619950824,141.821172441755,,,,140.78901096521824,142.46727971816293,,0.02555732848152575
2019-01-13,116.8978042602539,126.26787567138672,116.08596801757812,125.9072265625,2268263944,-7.199313656580575,-0.07471615028126666,135.98568725585938,,,,137.11344070291602,140.57324449905857,,0.0871009316063819
2019-01-14,129.0687255859375,130.8567352294922,116.96755981445312,116.97909545898438,2798085735,10.411591049723246,0.09904493373611378,132.7527596609933,,,,135.87579222338087,139.72105791290147,,0.10761069617745059
2019-01-15,122.03271484375,130.74356079101562,120.3115234375,129.1726837158203,2735449164,-5.451367641731874,-0.05605585573421466,128.70605686732702,,,,133.74608801112998,138.4108102781495,,0.08548557955850401
2019-01-16,123.54706573486328,127.11824798583984,121.44141387939453,121.80924224853516,2746469340,1.240938459045382,0.012333019292702115,124.81233542306083,,,,132.17700766093512,137.30979216383201,,0.045948757039912344
2019-01-17,123.7419204711914,124.27072143554688,120.81703186035156,123.57353973388672,2594091285,0.15771700863078664,0.0015759276597410881,124.11472647530692,,,,130.8793019394361,136.3047646310438,,0.02791042487496687
2019-01-18,121.01026153564453,123.84169006347656,120.24189758300781,123.65465545654297,2305389800,-2.207545288730861,-0.022322762115070918,123.18071746826172,,,,129.36098803116047,135.17183847582905,,0.02974782828155778
2019-01-19,124.5190200805664,125.90422821044922,121.1610336303711,121.61442565917969,3048261797,2.899554550494332,0.028583127887191116,122.97393035888672,,,,128.61606988491522,134.3827408169207,,0.03809212903385506
2019-01-20,119.4748306274414,125.07038879394531,118.70232391357422,124.63240051269531,2964108269,-4.050938924721137,-0.04135274914475369,123.34207698277065,,,,127.2097253837654,133.27845117325555,,0.053300472132315826
2019-01-21,117.15785217285156,119.71543884277344,116.15744018554688,119.63645935058594,2421720343,-1.9393025647509665,-0.01958353745857087,121.64052363804409,135.4962401617141,,,125.66328335131712,132.0843327287812,,0.03036927180926112
2019-01-22,118.74755096435547,119.66434478759766,114.67668151855469,117.11075592041016,2552507405,1.3568862539051318,0.013477629879542844,121.1712145124163,134.44519914899553,,,124.59932452255379,131.09642296845337,0.8718866464177394,0.04200224112866226
2019-01-23,117.45260620117188,119.42279815673828,116.37664794921875,118.71381378173828,2556952198,-1.0905022905039141,-0.010964918507288294,120.30057743617466,132.6549573625837,,,123.49982939618734,130.08576987458068,0.7849404166725038,0.025935143595724984
2019-01-24,117.36288452148438,118.0321044921875,116.00679779052734,117.46278381347656,2520843420,-0.07638968822354375,-0.0007641888001316967,119.38928658621651,131.14199901762464,,,122.55568403084841,129.14333392249947,0.7803341630063576,0.017256790423290976
2019-01-25,116.37834167480469,117.80299377441406,115.83015441894531,117.59495544433594,2606881898,-0.83888773754488,-0.008424262037951873,118.72758374895368,129.3227800641741,,,121.60532366838015,128.19777894118874,0.7613732163794836,0.01695194592977999
2019-01-26,116.48873901367188,118.08411407470703,115.98057556152344,116.37352752685547,2412181169,0.0948607251817224,0.0009481576082923955,117.58040073939732,127.45850118001302,,,120.81815679842504,127.33044265026157,0.7596693278068828,0.01805787006533489
2019-01-27,113.40528869628906,116.68540954589844,113.40528869628906,116.51031494140625,2775888287,-2.6469943305171495,-0.02682657976737662,116.71332332066127,125.34702918643043,,,119.67771555194258,126.29894976478212,0.7542600450791883,0.028923879012326077
2019-01-28,106.58997344970703,113.688232421875,103.33646392822266,113.28523254394531,3366895505,-6.00969789410275,-0.06197857812658318,115.20362636021206,123.19896988641648,,,117.66421676698327,124.83902559329508,0.7672539078803521,0.09711765711750252
2019-01-29,105.59821319580078,107.16578674316406,103.99922943115234,106.72195434570312,2900418606,-0.9304442264207902,-0.009347998978288667,113.32514953613281,121.06747363862537,,,115.80790852526289,123.41378023051772,0.7671933693597562,0.02998684557417909
2019-01-30,108.90753936767578,109.4529800415039,104.84379577636719,105.4072036743164,2874370355,3.1338846290313915,0.030857808934199052,112.10442570277623,119.07244618733723,,,114.74631327024949,122.33924387030721,0.7822042607376166,0.0423219943439907
2019-01-31,107.0610122680664,110.45835876464844,106.52535247802734,108.90077209472656,2828796031,-1.6954997884723433,-0.017100379501093596,110.63272966657367,118.0455809093657,,,113.56395926991362,121.20752301088197,0.5831409985947972,0.03673612086511357
2019-02-01,107.60978698730469,108.63871002197266,105.04650115966797,107.1476821899414,2541271519,0.5125812913707728,0.005112720654616807,109.3800789969308,117.09612673804874,,,112.64793276489686,120.2002833054318,0.5851150995737662,0.03338180441457876
2019-02-02,110.43025970458984,110.65387725830078,106.7640151977539,107.46641540527344,2385157838,2.6210187718501032,0.025872587091437266,108.51458195277623,116.35630435035343,,,112.3067522940804,119.47657785351758,0.5964665277608745,0.03522460302957342
2019-02-03,107.49266815185547,110.82735443115234,106.5639877319336,110.49031829833984,2519334757,-2.6601327938489683,-0.026961545810639594,107.669921875,115.90844072614398,,,111.56612396450733,118.58888083857966,0.5484222608707267,0.039661930181097274
2019-02-04,107.82160186767578,108.70103454589844,107.06742095947266,107.62582397460938,2491888675,0.3060057225071633,0.0030553847795017548,107.84586879185268,114.89667293003627,,,110.99004364191786,117.7913046185127,0.40260383777987085,0.015151078801728767
2019-02-05,107.44351959228516,108.1347885131836,106.90989685058594,107.62816619873047,2515863999,-0.35065540563441466,-0.003512716427027236,108.10948399135044,114.20194934663319,,,110.44442455735899,117.02480202397732,0.36378197277942714,0.01140033077142056
2019-02-06,104.9192886352539,107.56930541992188,102.93456268310547,107.56930541992188,2593048199,-2.3493561702091714,-0.02377393544811335,107.53973388671875,113.31491234188988,,,109.59440364626589,116.12809732851632,0.36227528508777285,0.044174362951781274
2019-02-07,104.5353012084961,106.05887603759766,104.40913391113281,104.83577728271484,2326764622,-0.3659836353758772,-0.003666549940251104,107.17891802106585,112.40031142461868,,,108.8160801943013,115.26937168999629,0.3610219518738709,0.01578167477773299
2019-02-08,119.26774597167969,119.80581665039062,104.1944351196289,104.64505004882812,3656841347,14.093272409288481,0.13184610690924448,108.84434073311942,112.3173344930013,,,110.42402877543645,115.56554756271358,0.6000276374254317,0.1308935739799146
