current_price,predicted_price,predicted_return_%,signal,confidence_%
3886.500732421875,3883.2415,-0.08,HOLD,1.7
3903.252685546875,3861.886,-1.06,SELL,21.2
3963.3327636718755,3848.7415,-2.89,SELL,57.8
3891.3410644531245,3835.8079,-1.43,SELL,28.5
3886.690185546875,3823.5598,-1.62,SELL,32.5
3823.38330078125,3807.533,-0.41,HOLD,8.3
3899.40869140625,3797.068,-2.62,SELL,52.5
3833.3964843749995,3786.0073,-1.24,SELL,24.7
4048.659423828125,3785.8406,-6.49,SELL,100.0
4072.814697265625,3794.8613,-6.82,SELL,100.0
4017.717529296875,3804.9573,-5.3,SELL,100.0
4033.426513671875,3817.45,-5.35,SELL,100.0
3992.328369140625,3827.7378,-4.12,SELL,82.5
3986.528564453125,3836.7283,-3.76,SELL,75.2
3941.582275390625,3841.5957,-2.54,SELL,50.7
3901.0339355468745,3841.4202,-1.53,SELL,30.6
4017.7500000000005,3844.3792,-4.32,SELL,86.3
4006.9726562499995,3850.0188,-3.92,SELL,78.3
4013.64208984375,3856.1284,-3.92,SELL,78.5
3929.354736328125,3856.3555,-1.86,SELL,37.2
3905.3349609375,3852.3396,-1.36,SELL,27.1
3962.846923828125,3850.2695,-2.84,SELL,56.8
3963.0886230468755,3849.5312,-2.87,SELL,57.3
3975.0263671875005,3850.552,-3.13,SELL,62.6
3937.08740234375,3849.393,-2.23,SELL,44.5
3932.73779296875,3846.8552,-2.18,SELL,43.7
3969.85498046875,3846.9604,-3.1,SELL,61.9
3954.43798828125,3847.0337,-2.72,SELL,54.3
3946.366943359375,3846.1204,-2.54,SELL,50.8
3894.7988281249995,3842.2446,-1.35,SELL,27.0
3902.0966796874995,3837.6597,-1.65,SELL,33.0
3831.148681640625,3827.0005,-0.11,HOLD,2.2
3818.196044921875,3812.1274,-0.16,HOLD,3.2
3779.5322265625,3792.9973,0.36,HOLD,7.1
3803.4074707031245,3775.0288,-0.75,HOLD,14.9
3774.0712890624995,3756.2424,-0.47,HOLD,9.4
3743.81689453125,3736.1624,-0.2,HOLD,4.1
3657.6933593749995,3711.0854,1.46,BUY,29.2
3653.1499023437505,3684.8882,0.87,HOLD,17.4
